"person_age";"person_income";"person_emp_length";"person_home_ownership";"loan_intent";"loan_grade";"loan_amnt";"loan_int_rate";"loan_status";"loan_percent_income";"cb_person_default_on_file";"cb_person_cred_hist_length"
42;60000;3.0;"Rent";"Homeimprovement";"A";7200;5.79;0;0.12;"N";11
27;113800;3.0;"Mortgage";"Medical";"A";7500;8.63;0;0.07;"N";10
31;190000;8.0;"Own";"Education";"A";15000;6.03;0;0.08;"N";8
38;34296;1.0;"Own";"Medical";"C";12000;0.0;0;0.35;"Y";12
30;67000;6.0;"Mortgage";"Homeimprovement";"A";10000;6.99;0;0.15;"N";6
24;55782;3.0;"Rent";"Debtconsolidation";"A";17000;7.51;0;0.3;"N";3
36;79200;19.0;"Mortgage";"Personal";"A";10000;6.03;0;0.13;"N";14
34;143150;0.0;"Mortgage";"Venture";"A";12000;9.32;0;0.08;"N";6
29;40000;8.0;"Mortgage";"Debtconsolidation";"A";8000;8.59;0;0.2;"N";9
27;32890;5.0;"Rent";"Education";"B";10000;10.95;0;0.3;"N";5
32;85000;7.0;"Rent";"Debtconsolidation";"B";6000;11.71;0;0.07;"N";5
23;14000;0.0;"Rent";"Debtconsolidation";"C";1500;0.0;0;0.11;"Y";4
26;75000;2.0;"Rent";"Personal";"C";16000;13.35;0;0.21;"Y";2
24;56000;2.0;"Mortgage";"Education";"C";5250;12.87;0;0.09;"N";2
27;26400;2.0;"Rent";"Medical";"A";2000;6.54;0;0.08;"N";10
34;91000;19.0;"Mortgage";"Venture";"B";15000;0.0;0;0.16;"N";10
22;34000;6.0;"Mortgage";"Venture";"D";15000;15.99;1;0.44;"Y";2
36;32004;3.0;"Rent";"Venture";"B";5000;10.62;0;0.16;"N";15
24;45000;8.0;"Rent";"Medical";"E";20000;0.0;1;0.44;"N";2
24;29004;4.0;"Rent";"Education";"A";5000;6.92;1;0.17;"N";3
23;98000;0.0;"Rent";"Education";"E";10000;16.4;1;0.1;"N";2
21;41900;2.0;"Rent";"Venture";"C";16000;12.84;1;0.38;"Y";2
30;98000;14.0;"Rent";"Personal";"C";8525;10.78;1;0.09;"N";9
30;62304;3.0;"Rent";"Education";"D";11000;0.0;0;0.18;"N";9
25;60000;1.0;"Rent";"Venture";"A";8400;7.29;0;0.14;"N";2
29;43200;4.0;"Rent";"Education";"C";1600;13.49;0;0.04;"N";10
23;60000;0.0;"Rent";"Venture";"A";8400;7.49;0;0.14;"N";3
33;60000;1.0;"Mortgage";"Venture";"D";17000;16.07;0;0.28;"Y";5
23;25000;0.0;"Rent";"Personal";"A";2500;6.91;0;0.1;"N";2
21;75000;5.0;"Rent";"Medical";"B";15000;10.37;0;0.2;"N";4
25;29000;5.0;"Rent";"Venture";"A";10000;7.49;1;0.34;"N";2
27;55200;4.0;"Own";"Education";"B";4000;0.0;0;0.07;"N";10
25;43200;3.0;"Rent";"Venture";"C";3000;13.8;0;0.07;"N";2
22;24000;5.0;"Mortgage";"Education";"A";5000;7.9;0;0.21;"N";2
30;10800;0.0;"Own";"Education";"B";2400;9.99;1;0.22;"N";7
0;27600;0.0;"Rent";"Homeimprovement";"B";15000;10.99;0;0.21;"N";4
36;40000;2.0;"Own";"Personal";"A";5000;7.88;0;0.13;"N";12
26;43200;5.0;"Rent";"Education";"C";3200;14.35;0;0.07;"Y";4
31;165000;3.0;"Mortgage";"Homeimprovement";"C";15000;12.61;0;0.09;"N";7
23;64500;0.0;"Mortgage";"Medical";"A";10000;0.0;0;0.16;"N";4
36;24000;2.0;"Mortgage";"Debtconsolidation";"A";1500;9.63;0;0.06;"N";16
33;44000;3.0;"Rent";"Medical";"B";2725;12.18;1;0.06;"N";6
25;70000;1.0;"Rent";"Venture";"A";5750;8.0;0;0.08;"N";4
36;55200;3.0;"Rent";"Medical";"D";9900;14.84;1;0.18;"Y";13
30;40000;4.0;"Rent";"Venture";"C";4500;14.26;0;0.11;"Y";6
25;82560;6.0;"Rent";"Debtconsolidation";"A";4500;7.42;0;0.05;"N";3
31;40000;0.0;"Own";"Medical";"D";15000;15.31;0;0.38;"Y";10
25;155000;9.0;"Mortgage";"Medical";"A";18000;7.51;0;0.12;"N";2
29;175000;2.0;"Mortgage";"Homeimprovement";"A";10000;0.0;0;0.06;"N";9
33;19200;0.0;"Rent";"Personal";"B";6000;10.65;1;0.31;"N";6
26;38004;3.0;"Mortgage";"Venture";"C";10000;13.35;0;0.26;"N";2
23;30000;0.0;"Rent";"Education";"C";5000;0.0;0;0.17;"N";3
24;54000;8.0;"Mortgage";"Venture";"D";1500;14.42;1;0.03;"Y";2
24;60000;8.0;"Rent";"Personal";"D";20000;13.87;1;0.33;"N";4
28;65000;6.0;"Mortgage";"Personal";"D";22000;15.65;0;0.34;"N";5
21;40000;3.0;"Rent";"Education";"D";7000;14.46;0;0.17;"N";3
31;42000;2.0;"Rent";"Medical";"A";7000;7.9;0;0.17;"N";7
26;28800;4.0;"Rent";"Medical";"A";7000;5.42;0;0.24;"N";4
22;94200;6.0;"Mortgage";"Personal";"B";20000;8.88;0;0.21;"N";2
27;185232;10.0;"Mortgage";"Personal";"A";35000;0.0;0;0.19;"N";8
35;29568;6.0;"Mortgage";"Personal";"C";6000;13.23;0;0.2;"Y";10
24;80000;6.0;"Mortgage";"Homeimprovement";"C";7000;14.65;0;0.09;"N";4
24;85000;6.0;"Rent";"Personal";"C";10000;13.72;0;0.12;"Y";2
24;95000;8.0;"Rent";"Personal";"D";17200;17.58;0;0.18;"N";3
33;60000;0.0;"Own";"Education";"C";10000;13.98;0;0.17;"Y";6
24;36996;7.0;"Mortgage";"Personal";"D";7800;0.0;0;0.21;"Y";3
35;39000;5.0;"Rent";"Personal";"B";10625;0.0;0;0.27;"N";9
25;72893;9.0;"Mortgage";"Personal";"C";20000;13.22;0;0.27;"N";2
24;48000;4.0;"Mortgage";"Education";"A";5000;5.99;0;0.1;"N";2
23;37000;7.0;"Rent";"Education";"B";3000;10.75;1;0.08;"N";4
34;68000;5.0;"Rent";"Homeimprovement";"A";14400;8.59;0;0.21;"N";5
25;33280;1.0;"Rent";"Medical";"B";5500;0.0;0;0.17;"N";4
29;220000;13.0;"Mortgage";"Debtconsolidation";"B";8500;10.37;0;0.04;"N";5
22;96000;4.0;"Rent";"Education";"B";3150;6.0;0;0.03;"N";2
33;120000;6.0;"Mortgage";"Medical";"A";4500;5.99;0;0.04;"N";5
31;24000;2.0;"Rent";"Medical";"A";1800;8.59;0;0.07;"N";6
27;102000;2.0;"Rent";"Homeimprovement";"A";10150;0.0;0;0.1;"N";6
31;135000;12.0;"Mortgage";"Education";"C";15000;13.85;0;0.11;"Y";9
26;48000;10.0;"Mortgage";"Venture";"C";13800;13.49;0;0.29;"Y";2
24;28932;4.0;"Mortgage";"Personal";"C";10000;0.0;0;0.35;"Y";2
29;93000;1.0;"Rent";"Homeimprovement";"B";10000;11.14;0;0.11;"N";8
24;28800;5.0;"Mortgage";"Debtconsolidation";"C";5500;0.0;0;0.19;"Y";3
26;64000;9.0;"Mortgage";"Debtconsolidation";"D";8000;12.17;1;0.13;"N";4
27;60000;3.0;"Mortgage";"Personal";"E";5000;16.45;0;0.08;"N";6
22;41000;6.0;"Rent";"Venture";"A";5000;0.0;0;0.12;"N";2
28;100000;0.0;"Mortgage";"Venture";"C";18000;13.99;0;0.18;"Y";6
22;62900;6.0;"Rent";"Medical";"D";20000;14.91;1;0.27;"N";4
26;85000;2.0;"Rent";"Venture";"A";28000;7.49;1;0.33;"N";3
30;144997;14.0;"Mortgage";"Personal";"B";25000;11.83;0;0.17;"N";5
41;26400;1.0;"Mortgage";"Personal";"D";10300;16.29;1;0.39;"Y";14
34;93100;2.0;"Rent";"Homeimprovement";"C";8000;0.0;0;0.09;"N";9
24;75000;9.0;"Mortgage";"Homeimprovement";"A";11500;5.42;0;0.15;"N";2
27;22896;1.0;"Own";"Medical";"B";5000;11.48;0;0.22;"N";8
31;24000;0.0;"Rent";"Debtconsolidation";"A";9925;6.62;1;0.41;"N";6
23;32000;0.0;"Mortgage";"Education";"B";1000;10.59;1;0.03;"N";2
23;65000;7.0;"Mortgage";"Education";"A";10500;6.03;0;0.16;"N";4
33;66500;1.0;"Mortgage";"Education";"A";0;7.14;0;0.0;"N";9
34;45000;1.0;"Mortgage";"Debtconsolidation";"C";3800;13.16;0;0.08;"Y";5
30;20000;1.0;"Rent";"Personal";"B";3000;11.49;1;0.15;"N";8
28;33000;0.0;"Rent";"Venture";"D";3200;14.42;1;0.1;"Y";6
24;62050;1.0;"Mortgage";"Medical";"C";5600;14.65;1;0.08;"N";4
23;34000;7.0;"Own";"Venture";"A";10950;7.29;0;0.32;"N";2
32;0;0.0;"Rent";"Medical";"A";12000;14.54;0;0.27;"N";2
25;98400;4.0;"Rent";"Personal";"D";16525;15.28;0;0.17;"Y";3
23;56000;7.0;"Rent";"Venture";"C";4000;15.23;0;0.07;"Y";4
23;75000;4.0;"Mortgage";"Medical";"C";16800;13.47;0;0.22;"N";4
27;90000;8.0;"Mortgage";"Debtconsolidation";"A";12000;7.29;0;0.13;"N";5
24;85000;3.0;"Mortgage";"Homeimprovement";"A";0;0.0;0;0.1;"N";2
32;38300;4.0;"Rent";"Medical";"B";5000;10.25;0;0.13;"N";9
25;32000;4.0;"Mortgage";"Debtconsolidation";"B";8000;10.36;1;0.25;"N";2
28;12000;1.0;"Rent";"Homeimprovement";"D";1000;16.32;1;0.08;"Y";9
26;64000;2.0;"Mortgage";"Personal";"D";8000;14.96;0;0.13;"Y";2
24;52000;8.0;"Mortgage";"Personal";"B";5000;10.99;0;0.1;"N";3
29;42000;4.0;"Rent";"Venture";"G";1600;19.16;0;0.04;"Y";6
25;59600;5.0;"Mortgage";"Education";"E";6000;16.45;1;0.1;"N";4
21;45000;3.0;"Rent";"Medical";"B";9600;12.18;0;0.21;"N";3
23;24000;0.0;"Own";"Education";"A";7000;7.14;0;0.29;"N";3
33;32400;8.0;"Rent";"Education";"A";11000;6.99;1;0.34;"N";10
33;54000;15.0;"Rent";"Debtconsolidation";"B";10000;10.99;0;0.19;"N";8
41;50780;14.0;"Mortgage";"Personal";"B";6000;10.99;0;0.12;"N";17
27;83000;11.0;"Mortgage";"Venture";"C";2500;13.99;0;0.03;"Y";8
40;52479;17.0;"Rent";"Personal";"D";6600;14.54;1;0.13;"N";13
37;117000;3.0;"Mortgage";"Personal";"A";10000;8.94;0;0.09;"N";11
26;38000;10.0;"Rent";"Venture";"B";10000;0.0;0;0.26;"N";3
52;54000;0.0;"Rent";"Personal";"A";1500;8.49;1;0.03;"N";24
25;48226;9.0;"Rent";"Medical";"A";7000;7.9;0;0.15;"N";3
36;69000;20.0;"Rent";"Venture";"";12000;0.0;0;0.0;"N";2
23;48000;0.0;"Rent";"Personal";"A";6800;6.54;1;0.14;"N";4
22;0;1.0;"Rent";"";"C";25000;15.27;0;0.3;"Y";3
44;80160;13.0;"Mortgage";"Debtconsolidation";"C";5500;13.92;0;0.07;"Y";13
38;49000;10.0;"Mortgage";"Debtconsolidation";"B";7250;11.99;0;0.15;"N";11
29;62532;6.0;"Rent";"Venture";"C";9000;13.49;0;0.14;"N";6
24;50000;8.0;"Rent";"Medical";"B";5000;9.25;0;0.1;"N";3
23;38000;5.0;"Mortgage";"Personal";"A";5400;7.9;0;0.14;"N";3
28;108000;2.0;"Rent";"Personal";"D";20000;15.31;1;0.19;"N";7
43;122500;4.0;"Mortgage";"Education";"A";9150;6.03;0;0.07;"N";12
26;105400;6.0;"Mortgage";"Medical";"D";24000;14.61;1;0.19;"N";3
31;120000;6.0;"Mortgage";"Medical";"A";28000;8.9;0;0.23;"N";9
31;42000;6.0;"Rent";"Education";"D";1200;16.29;0;0.03;"Y";5
30;69996;0.0;"Rent";"Personal";"B";2000;10.65;0;0.03;"N";10
27;89000;2.0;"Mortgage";"Debtconsolidation";"B";10000;10.65;0;0.11;"N";7
23;56100;3.0;"Mortgage";"Medical";"B";5650;10.99;1;0.09;"N";3
24;60000;9.0;"Own";"Homeimprovement";"B";15000;11.83;0;0.25;"N";3
32;40277;5.0;"Rent";"Medical";"B";15000;11.71;1;0.37;"N";8
30;9600;0.0;"Rent";"Personal";"A";1800;5.99;1;0.19;"N";8
27;35000;0.0;"Rent";"Debtconsolidation";"A";3000;8.49;0;0.09;"N";10
30;117005;1.0;"Rent";"Venture";"E";12000;18.79;1;0.1;"Y";8
36;65458;4.0;"Mortgage";"Medical";"A";8000;7.29;0;0.12;"N";13
24;41000;4.0;"Rent";"Medical";"C";15600;12.87;1;0.38;"Y";3
24;54000;8.0;"Mortgage";"Personal";"B";4000;9.99;0;0.07;"N";2
23;35000;0.0;"Rent";"Debtconsolidation";"C";5200;13.92;0;0.15;"N";2
26;108000;4.0;"Mortgage";"Personal";"A";9000;5.79;0;0.08;"N";2
37;59000;2.0;"Rent";"Education";"D";4800;14.54;1;0.08;"Y";14
24;125375;0.0;"Rent";"Medical";"C";12000;14.27;1;0.08;"N";2
48;94050;1.0;"Mortgage";"Debtconsolidation";"D";23000;14.96;1;0.24;"Y";16
24;53117;1.0;"Rent";"Personal";"C";2000;13.79;0;0.04;"N";2
31;73000;4.0;"Mortgage";"Debtconsolidation";"F";16000;19.41;1;0.22;"N";7
29;46000;6.0;"Rent";"Venture";"B";4000;9.99;0;0.09;"N";9
26;52000;6.0;"Mortgage";"Personal";"B";3300;10.99;0;0.06;"N";2
31;56000;4.0;"Mortgage";"Medical";"A";8000;8.59;0;0.14;"N";6
40;69996;6.0;"Rent";"Medical";"B";3000;10.75;0;0.04;"N";15
24;53000;7.0;"Rent";"Medical";"C";12000;12.53;0;0.23;"Y";4
30;96000;4.0;"Rent";"Personal";"C";12900;14.79;0;0.13;"N";9
25;62604;2.0;"Rent";"Personal";"A";9000;0.0;0;0.14;"N";3
49;95000;2.0;"Mortgage";"Homeimprovement";"A";3000;5.42;0;0.03;"N";12
27;97000;11.0;"Mortgage";"Personal";"B";3600;9.25;0;0.04;"N";7
23;68000;1.0;"Rent";"Venture";"E";14400;17.99;1;0.21;"N";2
22;52000;6.0;"Rent";"Venture";"B";10000;11.71;0;0.19;"N";2
22;50004;5.0;"Mortgage";"Education";"D";14000;15.58;0;0.28;"N";4
26;84000;0.0;"Rent";"Homeimprovement";"C";8000;12.61;1;0.1;"N";4
26;48000;2.0;"Rent";"Medical";"B";10000;12.21;0;0.21;"N";3
21;42000;5.0;"Rent";"Personal";"D";1000;15.58;1;0.02;"Y";4
41;55000;9.0;"Rent";"Debtconsolidation";"B";12000;12.53;0;0.22;"N";15
25;75600;7.0;"Mortgage";"Medical";"C";15000;12.68;0;0.2;"Y";3
25;61680;1.0;"Rent";"Venture";"C";7600;13.23;1;0.12;"N";4
22;36000;6.0;"Mortgage";"Debtconsolidation";"A";5975;7.42;0;0.17;"N";4
25;50000;0.0;"Rent";"Homeimprovement";"B";6400;9.91;0;0.13;"N";4
30;40800;7.0;"Rent";"Personal";"B";2400;11.49;1;0.06;"N";9
29;60000;1.0;"Rent";"Homeimprovement";"B";6000;10.01;0;0.1;"N";10
25;102000;3.0;"Mortgage";"Debtconsolidation";"A";11200;7.91;0;0.11;"N";4
25;52000;3.0;"Rent";"Education";"B";7200;12.69;0;0.14;"N";3
24;32000;4.0;"Rent";"Homeimprovement";"B";12800;12.42;1;0.4;"N";3
26;147996;10.0;"Mortgage";"Debtconsolidation";"A";7500;8.0;0;0.05;"N";3
24;39996;1.0;"Mortgage";"Personal";"B";3000;9.91;0;0.08;"N";4
33;80000;5.0;"Mortgage";"Homeimprovement";"D";24000;14.46;0;0.3;"N";6
38;114000;22.0;"Mortgage";"Debtconsolidation";"B";19000;9.99;0;0.17;"N";12
24;100800;4.0;"Mortgage";"Education";"B";21000;11.49;0;0.21;"N";4
23;72000;7.0;"Rent";"Personal";"B";10000;10.59;0;0.14;"N";4
25;23000;0.0;"Rent";"Homeimprovement";"D";8000;14.46;1;0.35;"Y";2
23;99200;7.0;"Mortgage";"Debtconsolidation";"A";23000;6.91;0;0.23;"N";4
26;145992;0.0;"Mortgage";"Personal";"D";20000;0.0;0;0.14;"Y";2
23;25200;7.0;"Rent";"Education";"B";7200;11.86;1;0.29;"N";4
22;32400;1.0;"Mortgage";"Debtconsolidation";"A";5500;0.0;0;0.17;"N";2
21;45192;0.0;"Mortgage";"Personal";"B";11700;10.74;0;0.26;"N";2
37;85000;3.0;"Rent";"Education";"C";10000;14.27;0;0.12;"N";14
26;84996;0.0;"Rent";"Medical";"B";9000;11.26;0;0.11;"N";2
22;25000;4.0;"Mortgage";"Venture";"A";1800;8.49;0;0.07;"N";2
34;73000;7.0;"Mortgage";"Personal";"A";20675;0.0;0;0.28;"N";9
26;35000;10.0;"Mortgage";"Venture";"A";6000;7.51;0;0.17;"N";4
27;35000;8.0;"Rent";"Personal";"B";12000;9.91;1;0.34;"N";8
28;53544;12.0;"Rent";"Homeimprovement";"C";1800;0.0;0;0.03;"Y";7
33;56312;2.0;"Rent";"Homeimprovement";"B";3000;11.71;0;0.05;"N";9
22;63000;2.0;"Rent";"Debtconsolidation";"A";5000;7.74;0;0.08;"N";3
23;57000;7.0;"Rent";"Debtconsolidation";"B";10000;11.48;0;0.18;"N";4
27;93000;5.0;"Mortgage";"Debtconsolidation";"C";16000;13.57;0;0.17;"Y";10
22;58900;2.0;"Rent";"Medical";"C";14900;13.57;0;0.25;"N";3
24;48000;3.0;"Mortgage";"Debtconsolidation";"B";4800;9.99;0;0.1;"N";2
34;105000;2.0;"Mortgage";"Homeimprovement";"A";5000;5.42;0;0.05;"N";7
26;122000;4.0;"Mortgage";"Education";"C";4800;0.0;0;0.04;"Y";3
22;38400;6.0;"Own";"Personal";"C";10000;14.72;0;0.26;"N";3
25;72700;4.0;"Rent";"Homeimprovement";"D";7000;14.84;0;0.1;"Y";2
32;101000;12.0;"Mortgage";"Debtconsolidation";"B";8000;11.49;0;0.08;"N";5
29;35000;14.0;"Mortgage";"Education";"C";8000;12.68;0;0.23;"Y";9
27;39996;4.0;"Rent";"Venture";"A";6500;9.63;0;0.16;"N";7
34;77000;3.0;"Rent";"Debtconsolidation";"D";5600;15.27;0;0.08;"";11
24;46800;6.0;"Mortgage";"Debtconsolidation";"A";12000;6.99;0;0.26;"N";3
46;65000;1.0;"Rent";"Education";"B";6000;12.69;0;0.09;"N";13
23;65000;7.0;"Mortgage";"Education";"A";9000;7.88;0;0.14;"N";3
27;47544;11.0;"Rent";"Debtconsolidation";"A";2500;7.88;0;0.05;"N";5
22;35000;4.0;"Rent";"Venture";"C";1000;0.0;0;0.03;"Y";3
25;84000;4.0;"Mortgage";"Debtconsolidation";"A";15000;7.88;0;0.18;"N";4
58;68000;1.0;"Mortgage";"Personal";"B";8000;10.99;0;0.12;"N";29
24;90000;3.0;"Rent";"Homeimprovement";"B";15000;11.86;0;0.17;"N";2
36;170000;13.0;"Mortgage";"Venture";"A";25000;7.51;0;0.15;"N";13
29;33600;7.0;"Rent";"Venture";"B";2000;11.71;0;0.06;"N";9
37;46680;6.0;"Mortgage";"Venture";"D";8000;15.21;0;0.17;"N";15
26;72645;5.0;"Own";"Venture";"A";12000;0.0;0;0.17;"N";2
28;90000;5.0;"Mortgage";"Venture";"B";25000;11.86;0;0.28;"N";6
26;56045;1.0;"Rent";"Medical";"D";24250;14.96;1;0.37;"N";2
30;72000;3.0;"Mortgage";"Personal";"B";12000;10.95;0;0.17;"N";5
34;62900;11.0;"Mortgage";"Medical";"A";18000;8.94;1;0.24;"N";5
27;129900;11.0;"Mortgage";"Medical";"B";3100;11.11;0;0.02;"N";8
37;21600;4.0;"Rent";"Medical";"D";3800;0.0;1;0.18;"N";11
22;96000;3.0;"Mortgage";"Education";"C";11400;13.04;0;0.12;"Y";2
35;500000;17.0;"Mortgage";"Debtconsolidation";"C";20000;13.85;0;0.04;"Y";7
24;80000;5.0;"Rent";"Venture";"B";10000;11.14;0;0.13;"N";4
23;80000;2.0;"Rent";"Venture";"B";7800;9.99;0;0.1;"N";2
22;130000;3.0;"Mortgage";"Venture";"B";24250;12.18;0;0.19;"N";4
22;10000;0.0;"Rent";"Homeimprovement";"D";1000;14.74;1;0.1;"N";4
45;54000;1.0;"Mortgage";"Education";"D";7750;16.07;1;0.14;"N";13
25;134300;3.0;"Rent";"Medical";"D";5000;16.49;1;0.03;"N";2
23;57996;5.0;"Mortgage";"Education";"A";8800;7.51;0;0.15;"N";2
24;78000;0.0;"Mortgage";"Debtconsolidation";"D";19500;15.31;1;0.25;"N";4
23;75000;7.0;"Own";"Education";"D";12000;12.49;0;0.16;"N";4
26;45000;3.0;"Rent";"Medical";"A";6000;7.49;0;0.13;"N";2
22;110000;3.0;"Rent";"Debtconsolidation";"B";12600;10.75;0;0.11;"N";2
23;60000;6.0;"Mortgage";"Debtconsolidation";"C";7000;12.99;0;0.12;"N";4
23;75000;2.0;"Rent";"Medical";"A";8000;7.9;0;0.11;"N";4
35;20000;4.0;"Rent";"Education";"D";6000;15.99;0;0.3;"N";5
27;24000;0.0;"Rent";"Debtconsolidation";"C";4000;12.87;0;0.17;"N";10
26;22584;0.0;"Rent";"Personal";"A";1800;8.49;0;0.08;"N";2
24;40000;0.0;"Rent";"Personal";"D";3000;17.27;1;0.07;"Y";2
27;120000;2.0;"Mortgage";"Venture";"B";16000;12.21;0;0.13;"N";5
24;37000;2.0;"Other";"Education";"B";5000;11.58;0;0.14;"N";3
